1,26,76,2200,1,11,2.5,0,1,1,2019-12-27T09:33:33.339,2019-12-27T09:33:33.339
1,27,76,2200,1,11,2.5,0,1,1,2019-12-27T09:34:00.000,2019-12-27T09:34:00.000
1,28,76,2200,1,11,2.5,0,1,1,2019-12-27T09:34:00.000,2019-12-27T09:34:01.000
1,29,76,2200,1,11,2.5,0,1,1,2019-12-27T09:34:00.000,2019-12-27T09:34:02.000
1,33,76,2200,1,11,2.5,0,1,1,2019-12-27T09:34:00.000,2019-12-27T09:34:03.000
1,33,76,2204,1,11,2.5,0,1,1,2019-12-27T09:34:00.000,2019-12-27T09:34:04.000
1,33,76,2205,1,11,2.5,0,1,1,2019-12-27T09:34:00.000,2019-12-27T09:34:05.000
1,33,76,2206,1,11,2.5,0,1,1,2019-12-27T09:34:00.000,2019-12-27T09:34:06.000
1,17,27,2207,1,11,2.5,0,1,1,2019-12-27T09:34:00.000,2019-12-27T09:34:07.000
1,18,28,2208,1,8,2.8,0,1,1,2019-12-27T09:34:00.000,2019-12-27T09:34:08.000
1,18,28,2208,1,12,2.8,0,1,1,2019-12-27T09:34:00.000,2019-12-27T09:34:09.000
1,18,28,2208,1,12,2.8,0,1,1,2019-12-27T09:34:00.000,2019-12-27T09:34:10.000
1,18,28,2208,0,12,2.8,0,1,0,2019-12-27T09:34:00.000,2019-12-27T09:34:11.000
1,18,28,2208,0,12,2.8,0,1,0,2019-12-27T09:34:00.000,2019-12-27T09:34:12.000
1,18,28,2208,0,12,2.8,0,1,0,2019-12-27T09:34:00.000,2019-12-27T09:34:13.000
1,18,28,2208,0,12,2.8,0,1,0,2019-12-27T09:34:00.000,2019-12-27T09:34:14.000
